matchday,home,away,home_goals,away_goals
1,Young Boys,Aston Villa,0,3
1,Juventus,PSV Eindhoven,3,1
1,Milan,Liverpool,1,3
1,Bayern Munich,Dinamo Zagreb,9,2
1,Real Madrid,VfB Stuttgart,3,1
1,Sporting CP,Lille,2,0
1,Sparta Prague,Red Bull Salzburg,3,0
1,Bologna,Shakhtar Donetsk,0,0
1,Celtic,Slovan Bratislava,5,1
1,Club Brugge,Borussia Dortmund,0,3
1,Manchester City,Inter Milan,0,0
1,Paris Saint-Germain,Girona,1,0
1,Feyenoord,Bayer Leverkusen,0,4
1,Red Star Belgrade,Benfica,1,2
1,Monaco,Barcelona,2,1
1,Atalanta,Arsenal,0,0
1,Atlético Madrid,RB Leipzig,2,1
1,Brest,Sturm Graz,2,1
2,Red Bull Salzburg,Brest,0,4
2,VfB Stuttgart,Sparta Prague,1,1
2,Arsenal,Paris Saint-Germain,2,0
2,Bayer Leverkusen,Milan,1,0
2,Borussia Dortmund,Celtic,7,1
2,Barcelona,Young Boys,5,0
2,Inter Milan,Red Star Belgrade,4,0
2,PSV Eindhoven,Sporting CP,1,1
2,Slovan Bratislava,Manchester City,0,4
2,Shakhtar Donetsk,Atalanta,0,3
2,Girona,Feyenoord,2,3
2,Aston Villa,Bayern Munich,1,0
2,Dinamo Zagreb,Monaco,2,2
2,Liverpool,Bologna,2,0
2,Lille,Real Madrid,1,0
2,RB Leipzig,Juventus,2,3
2,Sturm Graz,Club Brugge,0,1
2,Benfica,Atlético Madrid,4,0
3,Milan,Club Brugge,3,1
3,Monaco,Red Star Belgrade,5,1
3,Arsenal,Shakhtar Donetsk,1,0
3,Aston Villa,Bologna,2,0
3,Girona,Slovan Bratislava,2,0
3,Juventus,VfB Stuttgart,0,1
3,Paris Saint-Germain,PSV Eindhoven,1,1
3,Real Madrid,Borussia Dortmund,5,2
3,Sturm Graz,Sporting CP,0,2
3,Atalanta,Celtic,0,0
3,Brest,Bayer Leverkusen,1,1
3,Atlético Madrid,Lille,1,3
3,Young Boys,Inter Milan,0,1
3,Barcelona,Bayern Munich,4,1
3,Red Bull Salzburg,Dinamo Zagreb,0,2
3,Manchester City,Sparta Prague,5,0
3,RB Leipzig,Liverpool,0,1
